parameter,metabolite,sample_idx,value,file
concentration,met_1,0,0.39042903843234134,trdata_141T_dt160us.mat
concentration,met_1,1,0.7691282240624706,trdata_141T_dt160us.mat
concentration,met_1,2,0.12569618398160776,trdata_141T_dt160us.mat
concentration,met_1,3,1.269212988332697,trdata_141T_dt160us.mat
concentration,met_1,4,1.3004235529070773,trdata_141T_dt160us.mat
concentration,met_1,5,1.0341928347576608,trdata_141T_dt160us.mat
concentration,met_1,6,1.4118716733426555,trdata_141T_dt160us.mat
concentration,met_1,7,0.9791837067362941,trdata_141T_dt160us.mat
concentration,met_1,8,2.0731458110759773,trdata_141T_dt160us.mat
concentration,met_1,9,0.753387599054606,trdata_141T_dt160us.mat
concentration,met_1,10,0.40729976233344634,trdata_141T_dt160us.mat
concentration,met_1,11,0.9494989214444225,trdata_141T_dt160us.mat
concentration,met_1,12,2.1447530412369313,trdata_141T_dt160us.mat
concentration,met_1,13,1.2918334717479811,trdata_141T_dt160us.mat
concentration,met_1,14,1.307907363152431,trdata_141T_dt160us.mat
concentration,met_1,15,1.1945247848966898,trdata_141T_dt160us.mat
concentration,met_1,16,1.004813874111555,trdata_141T_dt160us.mat
concentration,met_1,17,1.0213043546137164,trdata_141T_dt160us.mat
concentration,met_1,18,1.2974102762756097,trdata_141T_dt160us.mat
concentration,met_1,19,1.120162678162047,trdata_141T_dt160us.mat
concentration,met_1,20,1.2199316958930426,trdata_141T_dt160us.mat
concentration,met_1,21,2.2359412471165205,trdata_141T_dt160us.mat
concentration,met_1,22,1.780898517330182,trdata_141T_dt160us.mat
concentration,met_1,23,1.06261099247083,trdata_141T_dt160us.mat
concentration,met_1,24,1.7941870637531188,trdata_141T_dt160us.mat
concentration,met_1,25,1.4692788786725832,trdata_141T_dt160us.mat
concentration,met_1,26,0.7689119426373112,trdata_141T_dt160us.mat
concentration,met_1,27,1.0840575188837618,trdata_141T_dt160us.mat
concentration,met_1,28,1.867739010186754,trdata_141T_dt160us.mat
concentration,met_1,29,0.6586538872426502,trdata_141T_dt160us.mat
concentration,met_1,30,1.4945726827215353,trdata_141T_dt160us.mat
concentration,met_1,31,1.993964991930858,trdata_141T_dt160us.mat
concentration,met_1,32,1.3985028810906268,trdata_141T_dt160us.mat
concentration,met_1,33,0.6686659023257636,trdata_141T_dt160us.mat
concentration,met_1,34,1.3210514647160458,trdata_141T_dt160us.mat
concentration,met_1,35,0.9360936057483717,trdata_141T_dt160us.mat
concentration,met_1,36,1.3985452963491778,trdata_141T_dt160us.mat
concentration,met_1,37,1.0612609304670881,trdata_141T_dt160us.mat
concentration,met_1,38,1.9253163932886779,trdata_141T_dt160us.mat
concentration,met_1,39,0.0,trdata_141T_dt160us.mat
concentration,met_1,40,1.5329363965519454,trdata_141T_dt160us.mat
concentration,met_1,41,1.3213818708392535,trdata_141T_dt160us.mat
concentration,met_1,42,0.2620522624405841,trdata_141T_dt160us.mat
concentration,met_1,43,0.7630170674857237,trdata_141T_dt160us.mat
concentration,met_1,44,0.6407862088406798,trdata_141T_dt160us.mat
concentration,met_1,45,1.2713451851574915,trdata_141T_dt160us.mat
concentration,met_1,46,0.6665083057832389,trdata_141T_dt160us.mat
concentration,met_1,47,0.09501591518085628,trdata_141T_dt160us.mat
concentration,met_1,48,0.5553515256131544,trdata_141T_dt160us.mat
concentration,met_1,49,0.5918086071246154,trdata_141T_dt160us.mat
concentration,met_1,50,1.4757259783282421,trdata_141T_dt160us.mat
concentration,met_1,51,1.444803270573348,trdata_141T_dt160us.mat
concentration,met_1,52,0.8711519720416685,trdata_141T_dt160us.mat
concentration,met_1,53,0.9487734668588296,trdata_141T_dt160us.mat
concentration,met_1,54,1.4247295223454604,trdata_141T_dt160us.mat
concentration,met_1,55,0.8876589662640118,trdata_141T_dt160us.mat
concentration,met_1,56,0.22297864300322356,trdata_141T_dt160us.mat
concentration,met_1,57,0.48191185180332385,trdata_141T_dt160us.mat
concentration,met_1,58,0.9525394472601717,trdata_141T_dt160us.mat
concentration,met_1,59,1.089577350612019,trdata_141T_dt160us.mat
concentration,met_1,60,1.9931533304892768,trdata_141T_dt160us.mat
concentration,met_1,61,1.7700433429885816,trdata_141T_dt160us.mat
concentration,met_1,62,1.38632612844556,trdata_141T_dt160us.mat
concentration,met_1,63,0.8962127327822913,trdata_141T_dt160us.mat
concentration,met_1,64,0.6860595533193857,trdata_141T_dt160us.mat
concentration,met_1,65,1.8315372812448163,trdata_141T_dt160us.mat
concentration,met_1,66,1.2302519959525229,trdata_141T_dt160us.mat
concentration,met_1,67,0.7315502940779604,trdata_141T_dt160us.mat
concentration,met_1,68,1.1234915505126442,trdata_141T_dt160us.mat
concentration,met_1,69,0.7088386283104118,trdata_141T_dt160us.mat
concentration,met_1,70,0.9068541773017014,trdata_141T_dt160us.mat
concentration,met_1,71,0.0,trdata_141T_dt160us.mat
concentration,met_1,72,1.0758619891923882,trdata_141T_dt160us.mat
concentration,met_1,73,0.9559695865319225,trdata_141T_dt160us.mat
concentration,met_1,74,0.6325269347567972,trdata_141T_dt160us.mat
concentration,met_1,75,0.20731074551976003,trdata_141T_dt160us.mat
concentration,met_1,76,0.37606673645708677,trdata_141T_dt160us.mat
concentration,met_1,77,1.0780234339737393,trdata_141T_dt160us.mat
concentration,met_1,78,1.8399594773028,trdata_141T_dt160us.mat
concentration,met_1,79,0.7216052737888061,trdata_141T_dt160us.mat
concentration,met_1,80,1.3314609910626947,trdata_141T_dt160us.mat
concentration,met_1,81,1.0416230411879421,trdata_141T_dt160us.mat
concentration,met_1,82,1.3305916634414696,trdata_141T_dt160us.mat
concentration,met_1,83,0.18870360172186063,trdata_141T_dt160us.mat
concentration,met_1,84,1.7937514315510468,trdata_141T_dt160us.mat
concentration,met_1,85,1.8376139860202163,trdata_141T_dt160us.mat
concentration,met_1,86,1.0647151131556127,trdata_141T_dt160us.mat
concentration,met_1,87,1.7698248226215578,trdata_141T_dt160us.mat
concentration,met_1,88,1.237581071125816,trdata_141T_dt160us.mat
concentration,met_1,89,0.9893148412566196,trdata_141T_dt160us.mat
concentration,met_1,90,0.7399325752122377,trdata_141T_dt160us.mat
concentration,met_1,91,1.308397384580985,trdata_141T_dt160us.mat
concentration,met_1,92,0.7947253028723738,trdata_141T_dt160us.mat
concentration,met_1,93,2.1101911435081484,trdata_141T_dt160us.mat
concentration,met_1,94,1.03596979191185,trdata_141T_dt160us.mat
concentration,met_1,95,0.07862881130427657,trdata_141T_dt160us.mat
concentration,met_1,96,0.6306872869645008,trdata_141T_dt160us.mat
concentration,met_1,97,1.2727625975060222,trdata_141T_dt160us.mat
concentration,met_1,98,0.9796038087824923,trdata_141T_dt160us.mat
concentration,met_1,99,0.9663072896230268,trdata_141T_dt160us.mat
concentration,met_1,100,0.16778867856030732,trdata_141T_dt160us.mat
concentration,met_1,101,1.5316261591688232,trdata_141T_dt160us.mat
concentration,met_1,102,1.8687019274842955,trdata_141T_dt160us.mat
concentration,met_1,103,1.2689534524004826,trdata_141T_dt160us.mat
concentration,met_1,104,0.9184150992446352,trdata_141T_dt160us.mat
concentration,met_1,105,1.7119311689426544,trdata_141T_dt160us.mat
concentration,met_1,106,1.4491919190158968,trdata_141T_dt160us.mat
concentration,met_1,107,1.8559182764951427,trdata_141T_dt160us.mat
concentration,met_1,108,2.050446187556563,trdata_141T_dt160us.mat
concentration,met_1,109,1.6499135915458976,trdata_141T_dt160us.mat
concentration,met_1,110,1.1689710663892514,trdata_141T_dt160us.mat
concentration,met_1,111,1.477164664313244,trdata_141T_dt160us.mat
concentration,met_1,112,0.8095283534407056,trdata_141T_dt160us.mat
concentration,met_1,113,1.4482490629340814,trdata_141T_dt160us.mat
concentration,met_1,114,1.0779523185950384,trdata_141T_dt160us.mat
concentration,met_1,115,0.7195808935127121,trdata_141T_dt160us.mat
concentration,met_1,116,1.3848562547402423,trdata_141T_dt160us.mat
concentration,met_1,117,0.359142775506903,trdata_141T_dt160us.mat
concentration,met_1,118,0.6308020575284351,trdata_141T_dt160us.mat
concentration,met_1,119,1.0866657025183484,trdata_141T_dt160us.mat
concentration,met_1,120,1.2170311385999066,trdata_141T_dt160us.mat
concentration,met_1,121,0.20671065285189116,trdata_141T_dt160us.mat
concentration,met_1,122,1.2007548114894808,trdata_141T_dt160us.mat
concentration,met_1,123,1.1696175821479515,trdata_141T_dt160us.mat
concentration,met_1,124,0.948669499863585,trdata_141T_dt160us.mat
concentration,met_1,125,0.8048010661665214,trdata_141T_dt160us.mat
concentration,met_1,126,0.6282530024668178,trdata_141T_dt160us.mat
concentration,met_1,127,0.9865398981518463,trdata_141T_dt160us.mat
concentration,met_1,128,0.8007241774563358,trdata_141T_dt160us.mat
concentration,met_1,129,0.4914329174390719,trdata_141T_dt160us.mat
